amount,commission,investment_id|account_id|liability_id,isin,netCash,operationDate,originalCurrency,referenceCurrency,retention,symb,type,unitPrice,valueDate,_id
"124,265","-2,8",da4998596993aeb6ad976b5272603ad0df61f780f52611f15571e14edd5992c9,LU1001014080,"31465,46",2023-04-28,USD,EUR,,+,Buy,"253,19",2023-05-03,21438a733b384b28143709740d5247c93c170414ebe1bc006ab82852ee32f252
"503,412","-2,32",da4998596993aeb6ad976b5272603ad0df61f780f52611f15571e14edd5992c9,LU1001014080,"113859,41",2023-07-11,USD,EUR,,-,Sell,"226,18",2023-07-13,beee732a2f26478b55c486cc0ece8895ec6e3d4a5aa4198490f9a55402351119
"1251,02",-22,c50ee63bc57e7a8290285bc16be44bb2c652d78350f787562524531c1962d37d,LU0915363070,"130310,6",2022-10-24,EUR,EUR,,+,Buy,"104,1459",2022-10-27,f3a30117dee6f9c3fc5b70c6d7789c78ffb2d786ed650606a02ad1dc11f390e9
"261,192",0,17aa41e146a7fdbf7a5cc07d5caaf6cde470864088fbae30f3e1482aca403e8e,LU1011100952,"24045,34",2022-10-24,EUR,EUR,,+,Buy,"92,06",2022-10-27,f16738bdb8233bfecf22ecc414f10bdd4130eef63018818d856cbd8a59396272
"768,259",0,17aa41e146a7fdbf7a5cc07d5caaf6cde470864088fbae30f3e1482aca403e8e,LU1011100952,"71248,34",2023-08-10,EUR,EUR,,-,Sell,"92,74",2023-08-16,44078a1a1b9a1e55f5f02c7d15327360d2592d50df1525e6807aa4f84a529fd0
"364,086","-0,01",8a79336aa604680fe1591d51f1c1c5e1714e60de9c4195e286b1f8b273c40cd6,IE00BD6P7S68,"35880,69",2022-10-14,EUR,EUR,,+,Buy,"98,55",2022-10-19,57c93169958b12d5165f6cd6b338a7245ba33c1e1e11bc648b8d2ab88a920960
"2451,284",0,8a79336aa604680fe1591d51f1c1c5e1714e60de9c4195e286b1f8b273c40cd6,IE00BD6P7S68,"240593,52",2023-08-11,EUR,EUR,,-,Sell,"98,15",2023-08-16,f53d2799d2177d1ed0607c80fc79d894c4436dfb9d633e7207689a5a076568a7
2416,"-39,97",28da32f51eeb6c8f54fa67577abbe59b24bb92412c745d90fe6ba53d9c2acde8,LU0446734369,"79977,97",2022-10-21,EUR,EUR,,+,Buy,"33,086922",2022-10-25,c3240af30ca8adbaec5f3953fb8827b2fd8e4810f41bda8e8c56e2c6797f7f4f
4000,"-79,84",28da32f51eeb6c8f54fa67577abbe59b24bb92412c745d90fe6ba53d9c2acde8,LU0446734369,"159596,96",2023-08-10,EUR,EUR,,-,Sell,"39,9192",2023-08-14,667ba13d1de0d7013abe67b29edb42f437d6cd42703768029ed20394b47badba
"1049,876",0,c294905fb9ea5089e436476f7a2951a513f72df2a084588a047f3119bb51dda1,IE00BF2B2Y39,"86635,77",2022-10-21,EUR,EUR,,+,Buy,"82,52",2022-10-26,d27e5a5ea94a28aa62a6e24f0122cd31e35fd0a23a2f988a286cadc1ff4cff64
"5376,837","-1,03",89b7944d1b4beec6732e715939ef8dad2bce6fd46eebcc46f3a975e885d0b700,IE00BYXJQV46,"51616,61",2023-02-15,EUR,EUR,,-,Sell,"9,6",2023-02-21,590c5edd5faedbe77280d6bf8f13bbd04b5f59b13329fd9f24afc5d06468a35c
5079,"-74,09",dda719ec6fb280041a33ea76d2f9ae6b632186375da57fe950f51b783cd234b4,IE00B9CQXS71,"148107,35",2022-10-21,EUR,EUR,,-,Sell,"29,175318",2022-10-25,3a846f09f41985482223cbc02a4b44f4473b5bd4b94058e650b56ba20676a1a3
3280,"-44,94",dda719ec6fb280041a33ea76d2f9ae6b632186375da57fe950f51b783cd234b4,IE00B9CQXS71,"89833,62",2023-09-07,EUR,EUR,,-,Sell,"27,402",2023-09-11,d3c66159901825ac1e745b96c2f71ba7bd0fe247c571282d663520377723ec2e
4363,"-153,36",3e55ac6d94576cb353806dd643bd5691fb873de437f49e2d5c0158ac215a29bd,LU1681049018,"306565,54",2022-10-21,USD,EUR,,-,Sell,"70,3",2022-10-25,e0b6ababe6f530382120a89591990df3ae4a2352d296db4d31a3512e92d0d9e7
2810,"-117,2",3e55ac6d94576cb353806dd643bd5691fb873de437f49e2d5c0158ac215a29bd,LU1681049018,"234273,61",2023-06-26,USD,EUR,,-,Sell,"83,4131",2023-06-28,b68f63aae5eda40bcc830b26ef6e5cdd5b8ad01f24ec29945d17fdfc4f38f9fb
"4689,078",0,931cb02d3f686446cb793bf77904634fdcefbb8358fafbf1473ccbd632768470,IE00BF4J0K77,7733415,2022-10-24,JPY,EUR,,+,Buy,"1649,24",2022-10-27,44f8f30228f050b3506827614c335c5acf757ddd5cc35e6f9ca54a9f9fab7934
"375,551",0,1cb708ef3479f6882820dd529f0bb6cd4dd33c966530c8b2fbf2e76f87339148,IE00BF2SJ654,"41903,98",2022-10-21,USD,EUR,,+,Buy,"111,58",2022-10-26,2f579e23d9c67a0b6f102458ecb286b1ce598a1e474967bd01175ab2591735f0
"1058,901",0,1cb708ef3479f6882820dd529f0bb6cd4dd33c966530c8b2fbf2e76f87339148,IE00BF2SJ654,"153890,08",2023-07-24,USD,EUR,,-,Sell,"145,33",2023-07-27,e5cf2350ad41b568d6e855097f3aea8f3849e09b666f30ee9569f6206f7a192e
"168,642",0,f48b30b98b63e3d00973e228797c0dc8a05ae36b5344cd6c1be8796a710600da,IE00BGSXT619,"21636,77",2022-10-24,USD,EUR,,+,Buy,"128,3",2022-10-27,9fe47bde2f8652feb6bc4c04f6782f8725a05a403527216a664d1943f752e2eb
"329,033",0,63668b9e7a2fde31a21cb5517807b12710312ce1a0f382fa1cda697a2decbf8e,IE00BK9WPL23,"33156,66",2022-10-24,EUR,EUR,,+,Buy,"100,77",2022-10-27,6098cbc5aab9bbff9d7aa178c13e40b77cd9c4693440ddc80fcf459db043c004
"502,197",-22,5dfb07af79138d2c373e9e431ba9b51b62d4584daa4f53cb91f57bfe46e46eb0,IE00BKF1PS04,"52838,06",2022-11-04,EUR,EUR,,+,Buy,"105,17",2022-11-10,cba07d349cb0654d4e7c138c6cd14dbd7a40cfc0654fd406aaf6fe395e2f957e
"1528,579",-22,5dfb07af79138d2c373e9e431ba9b51b62d4584daa4f53cb91f57bfe46e46eb0,IE00BKF1PS04,"172814,43",2023-08-04,EUR,EUR,,-,Sell,"113,07",2023-08-14,79aa7ff7a8fb42f6c917e558599ed1871765a0818beabdce6a65a4228391d5f5
4477,,61ee038f72e801b73ec7072158b2572736338ceceacb6c1942b07458a5a61364,JE00B78NPW60,"34607,21",2022-10-21,EUR,EUR,,+,Buy,"7,73",2022-10-25,085d541ae60a96bf65757bc2cc75bd566fc9b6e902e47f62462dac0f82d8e466
13221,,61ee038f72e801b73ec7072158b2572736338ceceacb6c1942b07458a5a61364,JE00B78NPW60,"101391,85",2023-08-03,EUR,EUR,,-,Sell,"7,669",2023-08-07,bf2be8cb7d7609279142dafcbd3a825d3f8fd29c656cfa3efca1aa1f8a7b6201
"3292,92",-22,abcef4df547aeba158cd7176e6d1013d1bf2ac520eba6e9d872e213b6ecf9873,IE00BFMC6449,"36997,87",2022-10-24,EUR,EUR,,+,Buy,"11,2289",2022-10-28,7e290b1f7c4074b4fd95b63c626b94e61e594da09f4510211f878f304615c8ef
"9291,225",-22,abcef4df547aeba158cd7176e6d1013d1bf2ac520eba6e9d872e213b6ecf9873,IE00BFMC6449,"112920,27",2023-07-24,EUR,EUR,,-,Sell,"12,1558",2023-07-27,4cd58a59b55225c1f52332f299ff55b6d7d8366a7aea23da5d394a697b9a9ee2
"1399,501",-22,2b608c88851083996c0c9b2732a4dfc44aed2fd9957e4bdcdd41ba0defa0e7ed,LU2188668169,"119273,48",2022-10-24,EUR,EUR,,+,Buy,"85,21",2022-10-26,73c5dcf833d8f179553aee91f9abd2fa88f2e47229acc10955dd2897e0fcdc9d
"955,086",0,c5e7e1b6e981fba7cae5181206bb580f787adfaa514644324e9377d1d8ac8cf3,IE00BN71XS56,"105833,08",2022-10-21,USD,EUR,,+,Buy,"110,81",2022-10-26,b594744590b7f69aa4a68b8d309683fdfcf955863b6b9ef8b214004a14381d45
2412,"-58,45",ac48a6c06b064c30d27091bf7e29a21872c737f8ea0696ebdfa6cec8696e16bf,LU2037748774,"116930,46",2022-12-08,EUR,EUR,,+,Buy,"48,4544",2022-12-12,3fff022e6d448b37284363680c26a5d54b1e8d255878776fa28c142afb7bdd2a
2412,-59,ac48a6c06b064c30d27091bf7e29a21872c737f8ea0696ebdfa6cec8696e16bf,LU2037748774,"117931,22",2023-07-24,EUR,EUR,,-,Sell,"48,918",2023-07-26,818e3cd4727c9c2398b8997da0bf5064f82b358e96676476d66fcf401e318e3d
"351,634",0,8aa2f8597f39aa13023b149b278f9e70196831d400d3d4ed5f9ce0b100ed3988,IE0004EEV7C1,"27733,37",2022-10-21,EUR,EUR,,+,Buy,"78,87",2022-10-26,2332345b8f2be97ae846ac2b7df8a3672a474bbc4862e16c1b6c5693c65b1b54
"509,249",0,0fa7aa7185011d03ea7cc9482c4dbb8dbfc29352a9599913fe8ef1f86c6f1361,IE000NHDF4Z3,"51510,54",2022-10-24,EUR,EUR,,-,Sell,"101,15",2022-10-27,491d0fad17bee431e0d88bf09c532730e5ca99146cfcdc5643fa72cb2f9ff95e
"1036,201",0,0fa7aa7185011d03ea7cc9482c4dbb8dbfc29352a9599913fe8ef1f86c6f1361,IE000NHDF4Z3,"115204,83",2023-09-08,EUR,EUR,,-,Sell,"111,18",2023-09-13,464653e9f44455a269ad144767795697ba90f2b8db538e7936ed1e6487ed90f2
3278,"-78,72",eb14b015ee9be296da27fe3e687c418235794f14b577e18040ac8355676f579f,LU1437018168,"157355,75",2023-07-24,EUR,EUR,,-,Sell,"48,0276",2023-07-26,60bc0a921f848f61f320682f8c57516d70df2f57c1960577a32027dfdecd447c
"615,865","-1,13",31353a1d9512f96af9d7678f7897f467050b0782872106bbd31509612d68baf7,LU0583240782,"77008,89",2023-02-14,EUR,EUR,,+,Buy,"125,04",2023-02-17,54340cdc0ed4ddf9d4b12fbf86374fa897add4e9f45faa435cb71e6eff6c4007
"230,852","-1,48",31353a1d9512f96af9d7678f7897f467050b0782872106bbd31509612d68baf7,LU0583240782,"28806,54",2023-06-20,EUR,EUR,,-,Sell,"124,79",2023-06-26,55053aac0c6eb092f222b171d2f96f180ae00cb68bba72d6f61c1a758c4915b6
1669,"-101,62",a12bb5b2c6341267885908c7e3c1d9d9410737efe9ec8a04c3d65a2f51bd7701,IE00B3VTML14,"203334,25",2023-04-19,EUR,EUR,,+,Buy,"121,7691",2023-04-21,e36f4ace142e2452ba7d67aec720ccfa3038bd0f60a3589ef541129f51572eb7
1669,"-102,67",a12bb5b2c6341267885908c7e3c1d9d9410737efe9ec8a04c3d65a2f51bd7701,IE00B3VTML14,"205240,24",2023-07-24,EUR,EUR,,-,Sell,"123,0335",2023-07-26,66f7aa1843fc04bfe35fec5b47b0cf62f01a33a610651952cc0d313ca1bb7ee1
1500,"-92,24",a12bb5b2c6341267885908c7e3c1d9d9410737efe9ec8a04c3d65a2f51bd7701,IE00B3VTML14,"184564,34",2023-08-10,EUR,EUR,,+,Buy,"122,9814",2023-08-14,7fc0dc30e1f5aa81aea062f993ac694793a99a6ba0b2d2c699452866f03c3543
2855,"-115,45",82a6b53acc112ea18559de87939d3d2f8160743881772ca46cf70b688b1114ee,IE00BFMXXD54,"231006,15",2023-06-26,USD,EUR,,+,Buy,"80,8724",2023-06-28,3a72de4e14467c960c4afc7eae28415bdd4d54cc9e398394afd8eaa6a0433f1b
2855,"-121,2",82a6b53acc112ea18559de87939d3d2f8160743881772ca46cf70b688b1114ee,IE00BFMXXD54,"242282,86",2023-07-24,USD,EUR,,-,Sell,"84,9051",2023-07-26,72976fea29361bf757f3e60157fecad04a3cb3580ced5679100cd5221199b88c
"470,562","-1,55",19332df3b3b3e2c76cd4ddce220fddf0c047c91ad36e992c5f3c2762970995ec,LU1078672877,"47057,75",2023-06-21,EUR,EUR,,+,Buy,100,2023-06-27,0129d96f4b0216ed55d8be00a2ec88378a966eba9d32fd4a87a5022e2e0ed325
"470,562",-22,19332df3b3b3e2c76cd4ddce220fddf0c047c91ad36e992c5f3c2762970995ec,LU1078672877,"48031,79",2023-07-24,EUR,EUR,,-,Sell,"102,12",2023-07-27,e7bb1985b9657989c1ea57797d8eba85515ee56c56ee4a2f1f48b3a48f358068
32,"-9,96",43492f642c7a6f5f1ef26e532be06c3afddadba9f0cb34da170263bfd3a55f1b,NL0010273215,"19936,36",2023-07-24,EUR,EUR,,+,Buy,"622,7",2023-07-26,f0da3d48d8a403cd803e353d4f4ea8982b701d7597aee9dcc2c5c015c5abed9d
137,"-75,9",ce97ec69e31dd84cf701570f50a0c1e40597109fbd40932547b7e10b5f65c07a,DK0060534915,"151871,9",2023-07-24,DKK,EUR,,+,Buy,1108,2023-07-26,4788a92e1643f4668c0ca5aaace28dcc02bf0a9a0d8b78d09ee203f8ab023f6f
100000,,7f8a759f40b482ba3c85a55aa11c7992cd8fed8f8acf3e5b81d8165953612026,XS1692332684,"97577,54",2023-07-27,EUR,EUR,,+,Buy,"0,95981",2023-07-31,f074e207e4e232b5d0561bb20efef1ab0011fcbf29aa02a06e601f3ac3c79296
140000,,79b4a92e2f7fbc8724d5225a98f56177efe6760d1ee997f57024412f51b3db9d,XS1463043973,"126254,4",2023-07-24,EUR,EUR,,+,Buy,"0,89705",2023-07-26,ed1ed6391e63743e3acbb59dcd7fd508e8fbab9dc20dbbc758be77abfef64b43
46,"-6,58",0fe8827f1e37c14e60134a17c8f4786c60a0fd9065454eacfce0de689a558ba7,NL0011585146,"13176,38",2023-07-24,EUR,EUR,,+,Buy,"286,3",2023-07-26,7e34fc800b2a1c459ebf430b16cef0f8ebd3d1c36608550110a3f2f4f32be1ff
6000,"-13,94",5a5b70a0f4e6c557bc36fc4f958f1821632bc228ca723a861ea1249639dd35a5,IE00BQT3WG13,"27884,54",2023-07-27,USD,EUR,,+,Buy,"4,6451",2023-07-31,6b8479c7d268af87e69049eba408ffca9ec71c60e268debb2c2c4b5bd3862c2b
56,"-7,47",484f61d76d7c055add93b0ef3b547014d90a10dcae626afe6a20f8ba26bed927,FR0013154002,"14993,09",2023-07-24,EUR,EUR,,+,Buy,"266,8",2023-07-26,94d61dcfaa6f8830f6e198d242add27d644abe7f8970962f2cc90fbf532512ea
1159,"-7,64",acb67087b4e1323a856ad4426af6bddbc9f78a543b3ba3e2da2ae03ba694ae00,NL0011821202,15281,2023-07-24,EUR,EUR,,+,Buy,"13,178051",2023-07-26,556937da70060e1c0fe81fba3bd47576d9550a6b42c33c7a8afcf8229b133be0
360,"-11,26",f7766ea16f216195de4b76048b0f3bd3715ffeaa2d3aa00a51bfc4541d5e879e,CA87807B1076,"14080,06",2023-07-24,USD,EUR,,+,Buy,"39,08",2023-07-26,ec1d4312d875ff32a091d41dd3a019b9df3291ad0c46993904e24a29d9f7352b
360,"-10,22",f7766ea16f216195de4b76048b0f3bd3715ffeaa2d3aa00a51bfc4541d5e879e,CA87807B1076,"12769,68",2023-08-22,USD,EUR,,-,Sell,"35,5",2023-08-24,14c154383fa811860ad0021984517a3eef06bc6bdcd7a8dc7df5ab81cac688b2
654,"-29,52",b2ae1ac36ccd7e74d634b7fb76129e12c8a307f1630f97116fe1e57cbed44e14,SE0007100599,"59065,74",2023-07-24,SEK,EUR,,+,Buy,"90,26945",2023-07-26,50e332d04748954d45ba6653b02ad51e506328ab8aa56bd0390ded48bf050ef8
100000,,225fd9d442377ffee28023f04e9a70c1b1ad16c35d3f82f6627a409a070622d3,XS2076099865,"103441,15",2023-07-24,EUR,EUR,,+,Buy,"1,02529",2023-07-26,3d146d53dbb0714cee1502bb1ced42b4b7661972fac1bac914636aae2ba0ee20
100000,,05937e7cea26b2a0ee943a74bf9883c04f5557a1cc8bf2b67b989403def94059,FR0013516184,"93767,63",2023-07-27,EUR,EUR,,+,Buy,"93,519",2023-07-31,645917db4822aa4120eb68301aa32c810bcde394a420a8089f9a6836b847c6a7
142,"-13,86",54ec813b8c19cf4b8b439d0e53e9616d19238a06ccd89fc83775dacff04da6a4,US02079K1079,"17333,6",2023-07-24,USD,EUR,,+,Buy,"121,97",2023-07-26,ce85953d2d0493c9cf76fb00c1c3d128bf8e3c35f1ac3511d809cadc9a64aa1a
100000,,bff667c21972dc6dd74426321c93e7c2a787e0a6a40966dc462a5cc8b9492722,XS2384274366,"83628,42",2023-07-24,EUR,EUR,,+,Buy,"0,83055",2023-07-26,f5471c4283990c6cd9131af8227bb301d6e930a927dd4b0a19cced6cc435a82d
100000,,ac462a78697e7cdc6d05653647f45f4ff6089f2c3efde81f50fa2c37b856587d,XS2342732562,"90623,38",2023-07-24,EUR,EUR,,+,Buy,"88,467",2023-07-26,e9ca006c8ec45a0838dd26a7b0b5ac65e323887485bb9611e4ccd97bbbc2111f
100000,,5bdae7af7cb23359a4dcaacbcf0e8d58f5f26e719cc9f0f4cf255e8d1164c047,XS2482872418,"96657,75",2023-07-24,EUR,EUR,,+,Buy,"0,96335",2023-07-26,791a85c38c57596d69f2465263286c0d6f89b2630c1bb9bbe210528c8ddf640c
80000,,ca322e4f04db79d5fff174c17bbb79da459e768332ea7db56e60f555acbaecb4,FR001400H2O3,"81045,4",2023-07-24,EUR,EUR,,+,Buy,"99,942",2023-07-26,c2a6181c3d2a9f51d1148437c910405229931a6795af65b089e45678b763e373
53,"-7,3",9ebf0cdc0273b661f22f38504c3518d2bd651095567ee83b390e7be4013f018e,CH0012032048,"14651,2",2023-07-24,CHF,EUR,,+,Buy,"276,3",2023-07-26,5dd464f0e43623a7f0b09f9d0e1d27923dd75ad673b29942a47b9dd313dfcdb7
190,"-9,64",b4081c05e7836437b399c0cc425730e8a515a18b76a2820b9a3ac3e27753d971,CH1216478797,"19285,34",2023-07-24,EUR,EUR,,+,Buy,"101,451053",2023-07-26,df13729f02c07f563b10774f59e692ec8ae09b2917092dc249cd69ca3524de7a
40,"-13,6",161f796ba386f08c03e3af2ba272df2e522b736f0142343205fbf30d5c42c2bb,US64110L1061,"17013,6",2023-07-24,USD,EUR,,+,Buy,425,2023-07-26,482ce4ed1a8be60bbaaa57101844b3f46f1813ebdd46949d2327db0e57cc53e0
1777,-7,e2f549ead64283683794f3f03f8059613139656dbab56ae4209a0042a8200f79,IT0003242622,"14016,61",2023-07-24,EUR,EUR,,+,Buy,"7,875977",2023-07-26,8d0cb30d194d79269a2deb9cbb59313ad4ec1ea67a3dd00dc11cd03409f7054d
25,"-11,06",2acda3e63658887b46d07eee820e23845899bf0bdf8bea231cf2a2d98027a6be,US45168D1046,"13840,56",2023-07-24,USD,EUR,,+,Buy,"553,18",2023-07-26,52dc513e922f54c0ee070ce7372d88246540fb9e1ac388b78a7aad35ca5401db
43,"-13,67",1071e5079bc7d254a3dc96e8ef28c0af29e6e6e5a8ed811ab814227e468360db,US57636Q1040,"17105,31",2023-07-24,USD,EUR,,+,Buy,"397,48",2023-07-26,914466b2d9f6510e6a3861bb3bb6a82fd956eb5297335d78579c8a0804dcaeb4
127,"-7,68",71b8b2ba9ab7c45ce07a3069de5fc96720749590279ef9e1b24aaf6ae5df0a8b,DE0007164600,"15369,6",2023-07-24,EUR,EUR,,+,Buy,"120,96",2023-07-26,6823191535b6ed50bf448551e2aa4d41b21c68cc76e3da300e5c3f8480c685ab
25,"-10,71",cb51355660b3d5de1eec06ff20a9416ad13e1ff4351c2e4aac873e57554596e0,FR0000121014,"21497,58",2023-07-24,EUR,EUR,,+,Buy,"856,904",2023-07-26,69edadf2c511cdeb1c107f8eff57bd3e1717392ff13790fe29f118a176baa84a
30,"-10,93",cb51355660b3d5de1eec06ff20a9416ad13e1ff4351c2e4aac873e57554596e0,FR0000121014,"21943,53",2023-09-07,EUR,EUR,,+,Buy,"728,9",2023-09-11,559df8fd3fdc7a28442fe8a7730afa9f79ca2856dc161f3b98239148c883cfd0
38,"-5,36",41bd4fad71a8045a80277af3916801b56c3a31e0f8d995028fe3170d2f047750,US5184391044,"6699,44",2023-07-24,USD,EUR,,+,Buy,"176,16",2023-07-26,e27c0f1e579ac10e0597a971c174caf23984aedc02d321fd08e8774b5eb189f9
407,"-13,27",cab0227d5019d72ec73f98907189869d3c10e3a7b4e547eefe85ccb4c7c105b2,US35671D8570,"16602,59",2023-07-24,USD,EUR,,+,Buy,"40,76",2023-07-26,c0f40adc87e2871752312c1bf55eb11343354bbccab85d0da3c7012ce3dfdebf
37,"-7,56",d1d6787ca9a17bd220af27647b4f88a76955ad95920596905fead5fbb5d445c8,FR0000120321,"15167,4",2023-07-24,EUR,EUR,,+,Buy,"408,5",2023-07-26,e9ec551fb5b020610a764634119f5854016fddfb46e9cc1dbfbd396f026978cf
33,"-13,35",74b1f45a99c07453544dd1ff96894006c39a786670ded5b13ca6c341e10c4c64,US91324P1021,"16706,4",2023-07-24,USD,EUR,,+,Buy,"505,85",2023-07-26,d0c5ae164f5899cd02245659d8cba2249985553b76761cfd769a97d18794ced8
175,"-18,24",2b3e030f463fa959b04599a572202a52d52ee981be66fab3f1e8b1d5474ae48a,US0231351067,"22822,49",2023-07-24,USD,EUR,,+,Buy,"130,31",2023-07-26,1f9a2a4e04f91a1248c3d514a8a2787725864a58f067846fbe414492d4efb34c
54,"-11,04",a39af118b5d48c42b1698620ece25022ad9e3957aa27bbcbbe6ade719440aa52,US88160R1014,"13816,14",2023-07-24,USD,EUR,,+,Buy,"255,65",2023-07-26,710d1ec5a3e34172b42330dbc9624b986fbcfc9bf8c50ea4c51fe9e3f9a687d7
303,"-7,76",76817619843bbabad1b3c212972ac9cbe69e435abfc8d61b506e9d648770a517,US0605051046,"9712,85",2023-07-24,USD,EUR,,+,Buy,"32,03",2023-07-26,6d9f91d9355f20a9b6eb62ed9f81c80d928b9affa7d6cc8170831cad890e8608
104,"-16,08",008f1e4981eab01238d2d9e4f3ab22803607f713fe217272fdec87f803216ec2,US0378331005,"20120,32",2023-07-24,USD,EUR,,+,Buy,"193,31",2023-07-26,9f3c4a1a3638d348f751c70cf4541b8abb8c50a35d3f5aba5d50808635343dbe
66,"-18,27",ee841e0f8062a795944e92b20463234cc63ed94e69e3b8de6965689b480d8491,US5949181045,"22852,29",2023-07-24,USD,EUR,,+,Buy,"345,97",2023-07-26,32c9b4254f8cd37e3e81b8f07a183e91421e076291c71e42273c0ae399666fb1
125,"-11,04",b768d0b109e7ac6129f95eb6a445df42273ea6be8b8464bbdf4bf15407070eb2,US6541061031,"13812,29",2023-07-24,USD,EUR,,+,Buy,"110,41",2023-07-26,4bc08e5639d549aa7acb2d231ee36d8575e7f34103cb3679b321eaf1edbd7159
33,"-14,78",04d72aaf2d7df2dd511fe94bbfd46eb8bc81f57f8bc451272a54440a0d69b4cc,US8835561023,"18494,78",2023-07-24,USD,EUR,,+,Buy,560,2023-07-26,1eafd5803ce1e06828f17ece9fffce96326c473fe83780d39c8b1988b8761fc1
77,"-9,28",0b67b0ac2e9fee84581ce335752267cb89c14b1bc8a0147ecd9a60ae77849de7,US0304201033,"11605,48",2023-07-27,USD,EUR,,+,Buy,"150,6",2023-07-31,0d72b73b4d616f224c156347051b6baf559de14e9efe8ddbd22ee9eab2a2c879
148,"-9,16",0b0369509e3c39c72212b833146fa633d502ac39464818b0694b17d9f54153e2,US34959J1088,11454,2023-07-27,USD,EUR,,+,Buy,"77,33",2023-07-31,9d3d6533b637c96d07e5ae30309c368d4f7d7631898f63ed4d70e1aa3146bef0
20,"-9,59",94abcac30d72c119e595f5163bab7c65839b094410995ee476a50781e139c9df,US81762P1021,"11992,79",2023-07-27,USD,EUR,,+,Buy,"599,16",2023-07-31,a3e5a383a7a0ca2d92af24963dfe4a7db06882023f8efe0460f278a474e5143f
60,-7,b2d0e2dca009de13ec275c92163a7c42f30e3859811bd8252d9a61a9c673f1ce,US25278X1090,"8762,8",2023-07-27,USD,EUR,,+,Buy,"145,93",2023-07-31,6ae2af0a610ac6faac19665c278dd41c25ce4c67d9ef97b60be64732117cf93c
60,"-9,22",eaae7120c11db91c56db07a7bac84cbf6834f8a7c5221bef3a098e47f0a516d6,US7134481081,"11529,22",2023-07-27,USD,EUR,,+,Buy,192,2023-07-31,a17390b4efb2f923410a787c8bfd8ba7d360b53cca7d6e80f5af1e4de09dd556
71,"-9,09",b7816c709a8cd332bbb7f3e0df267cecde9ffc65ae52930cf289c9f84797e95f,US9311421039,"11374,77",2023-07-27,USD,EUR,,+,Buy,"160,08",2023-07-31,e9e06b2d2af9237d135e5f7637e76f6473909d4fbe2c55a90937730f79c06d7a
